XPath,1.21.xml,10.17.xml,100.27.xml,101.17.xml,102.17.xml,103.17.xml,105.17.xml,107.18.xml,109.16.xml,11.16.xml,110.16.xml,111.20.xml,112.18.xml,113.18.xml,115.18.xml,116.16.xml,117.16.xml,118.17.xml,119.15.xml,12.17.xml,121.20.xml,124.24.xml,127.15.xml,129.17.xml,13.16.xml,14.17.xml,142.18.xml,144.20.xml,145.19.xml,146.21.xml,147.24.xml,15.19.xml,150.19.xml,151.20.xml,152.22.xml,153.20.xml,153.21.xml,159.18.xml,16.16.xml,166.17.xml,17.16.xml,172.18.xml,173.18.xml,176.16.xml,177.21.xml,179.19.xml,18.19.xml,180.17.xml,181.18.xml,182.19.xml,183.17.xml,184.14.xml,185.14.xml,187.15.xml,188.16.xml,189.16.xml,193.12.xml,20.19.xml,200.11.xml,201.8.xml,202.11.xml,205.13.xml,206.14.xml,207.13.xml,209.11.xml,21.19.xml,210.10.xml,211.4.xml,213.3.xml,216.3.xml,219.5.xml,22.19.xml,220.2.xml,221.2.xml,222.10.xml,223.4.xml,224.4.xml,225.4.xml,226.3.xml,227.4.xml,228.9.xml,229.7.xml,23.19.xml,230.3.xml,231.3.xml,232.4.xml,233.2.xml,235.3.xml,236.9.xml,238.3.xml,24.19.xml,240.4.xml,241.2.xml,242.2.xml,243.3.xml,244.2.xml,245.2.xml,246.3.xml,247.9.xml,249.2.xml,25.35.xml,25.36.xml,250.2.xml,251.3.xml,252.3.xml,253.4.xml,254.4.xml,255.5.xml,256.4.xml,257.2.xml,258.1.xml,258.2.xml,259.1.xml,259.2.xml,260.1.xml,260.2.xml,261.2.xml,262.3.xml,263.1.xml,263.2.xml,264.1.xml,264.2.xml,265.1.xml,265.2.xml,265.3.xml,266.1.xml,266.2.xml,266.3.xml,267.1.xml,267.2.xml,268.4.xml,269.3.xml,27.16.xml,270.2.xml,271.2.xml,272.4.xml,274.2.xml,275.2.xml,276.2.xml,3.16.xml,30.20.xml,31.18.xml,32.19.xml,33.17.xml,35.20.xml,4.16.xml,41.17.xml,42.18.xml,43.18.xml,44.17.xml,45.17.xml,46.20.xml,48.23.xml,49.33.xml,49.34.xml,5.16.xml,51.16.xml,52.16.xml,53.16.xml,54.17.xml,55.15.xml,56.15.xml,57.15.xml,58.22.xml,6.15.xml,60.18.xml,61.28.xml,61.29.xml,62.21.xml,65.16.xml,66.19.xml,68.16.xml,7.17.xml,75.26.xml,76.28.xml,77.22.xml,77.23.xml,78.23.xml,8.17.xml,83.19.xml,84.18.xml,86.18.xml,87.17.xml,88.22.xml,89.22.xml,9.16.xml,90.17.xml,92.17.xml,94.17.xml,96.18.xml,97.30.xml,98.18.xml,99.17.xml
/eml:eml/dataset/creator/userId/@directory,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
/eml:eml/dataset/dataTable/alternateIdentifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/attributeList,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/@id,16.0,7.0,5.0,5.0,13.0,5.0,2.0,5.0,7.0,0.0,5.0,12.0,8.0,3.0,6.0,5.0,3.0,12.0,0.0,6.0,28.0,14.0,0.0,8.0,9.0,17.0,8.0,0.0,0.0,19.0,17.0,19.0,250.0,5.0,0.0,6.0,6.0,6.0,17.0,14.0,16.0,0.0,0.0,17.0,10.0,0.0,7.0,16.0,8.0,8.0,12.0,7.0,11.0,9.0,7.0,22.0,4.0,18.0,8.0,0.0,0.0,14.0,3.0,19.0,19.0,23.0,0.0,9.0,0.0,7.0,0.0,8.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,19.0,17.0,9.0,3.0,10.0,21.0,0.0,5.0,13.0,0.0,16.0,111.0,13.0,18.0,18.0,6.0,5.0,15.0,6.0,10.0,8.0,15.0,9.0,8.0,8.0,7.0,7.0,10.0,10.0,8.0,0.0,7.0,7.0,9.0,9.0,72.0,72.0,72.0,60.0,60.0,60.0,21.0,21.0,10.0,7.0,8.0,9.0,20.0,3.0,7.0,18.0,43.0,8.0,4.0,3.0,15.0,3.0,7.0,8.0,5.0,0.0,14.0,17.0,12.0,32.0,0.0,17.0,17.0,6.0,12.0,6.0,10.0,0.0,11.0,7.0,8.0,15.0,12.0,7.0,6.0,6.0,23.0,0.0,8.0,8.0,7.0,18.0,18.0,4.0,4.0,0.0,8.0,3.0,10.0,37.0,6.0,0.0,15.0,13.0,9.0,15.0,35.0,10.0,39.0,5.0,21.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,16.0,7.0,5.0,5.0,13.0,5.0,2.0,5.0,7.0,0.0,5.0,12.0,8.0,3.0,6.0,5.0,3.0,12.0,0.0,6.0,28.0,14.0,0.0,8.0,9.0,17.0,8.0,0.0,0.0,19.0,17.0,19.0,250.0,5.0,0.0,6.0,6.0,6.0,17.0,14.0,16.0,0.0,0.0,17.0,10.0,0.0,7.0,16.0,8.0,8.0,12.0,7.0,11.0,9.0,7.0,22.0,4.0,18.0,8.0,0.0,0.0,14.0,3.0,19.0,19.0,23.0,0.0,9.0,0.0,7.0,0.0,8.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,19.0,17.0,9.0,3.0,10.0,21.0,0.0,5.0,13.0,0.0,16.0,111.0,13.0,18.0,18.0,6.0,5.0,15.0,6.0,10.0,8.0,15.0,9.0,8.0,8.0,7.0,7.0,10.0,10.0,8.0,0.0,7.0,7.0,9.0,9.0,72.0,72.0,72.0,60.0,60.0,60.0,19.0,19.0,10.0,7.0,8.0,9.0,14.0,3.0,7.0,18.0,43.0,8.0,4.0,3.0,15.0,3.0,7.0,8.0,5.0,0.0,14.0,17.0,12.0,32.0,0.0,17.0,17.0,6.0,12.0,6.0,10.0,0.0,11.0,7.0,8.0,15.0,12.0,7.0,6.0,6.0,23.0,0.0,8.0,8.0,7.0,18.0,18.0,4.0,4.0,0.0,8.0,3.0,10.0,37.0,6.0,0.0,15.0,13.0,9.0,15.0,35.0,10.0,39.0,5.0,21.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,16.0,7.0,5.0,5.0,13.0,5.0,2.0,5.0,7.0,0.0,5.0,12.0,8.0,3.0,6.0,5.0,3.0,12.0,0.0,6.0,28.0,14.0,0.0,8.0,9.0,17.0,8.0,0.0,0.0,19.0,17.0,19.0,61.0,5.0,0.0,6.0,6.0,6.0,15.0,14.0,16.0,0.0,0.0,17.0,10.0,0.0,7.0,16.0,8.0,8.0,12.0,7.0,11.0,9.0,7.0,22.0,4.0,18.0,8.0,0.0,0.0,14.0,3.0,19.0,19.0,23.0,0.0,9.0,0.0,7.0,0.0,8.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,19.0,17.0,9.0,3.0,10.0,21.0,0.0,5.0,13.0,0.0,16.0,109.0,13.0,18.0,18.0,6.0,5.0,15.0,6.0,10.0,8.0,15.0,9.0,8.0,8.0,7.0,7.0,10.0,10.0,8.0,0.0,7.0,7.0,9.0,9.0,69.0,69.0,69.0,56.0,56.0,56.0,19.0,19.0,10.0,7.0,8.0,9.0,14.0,3.0,7.0,18.0,43.0,8.0,4.0,3.0,15.0,3.0,7.0,8.0,5.0,0.0,14.0,6.0,12.0,32.0,0.0,17.0,17.0,6.0,12.0,6.0,10.0,0.0,11.0,7.0,8.0,15.0,12.0,7.0,6.0,6.0,18.0,0.0,8.0,8.0,7.0,18.0,18.0,4.0,4.0,0.0,8.0,3.0,10.0,37.0,6.0,0.0,15.0,13.0,9.0,15.0,35.0,10.0,39.0,5.0,21.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,16.0,7.0,5.0,5.0,13.0,5.0,2.0,5.0,7.0,0.0,5.0,12.0,8.0,3.0,6.0,5.0,3.0,12.0,0.0,6.0,28.0,14.0,0.0,8.0,9.0,17.0,8.0,0.0,0.0,19.0,17.0,19.0,250.0,5.0,0.0,6.0,6.0,6.0,17.0,14.0,16.0,0.0,0.0,17.0,10.0,0.0,7.0,16.0,8.0,8.0,12.0,7.0,11.0,9.0,7.0,22.0,4.0,18.0,8.0,0.0,0.0,14.0,3.0,19.0,19.0,23.0,0.0,9.0,0.0,7.0,0.0,8.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,19.0,17.0,9.0,3.0,10.0,21.0,0.0,5.0,13.0,0.0,16.0,111.0,13.0,18.0,18.0,6.0,5.0,15.0,6.0,10.0,8.0,15.0,9.0,8.0,8.0,7.0,7.0,10.0,10.0,8.0,0.0,7.0,7.0,9.0,9.0,72.0,72.0,72.0,60.0,60.0,60.0,19.0,19.0,10.0,7.0,8.0,9.0,12.0,3.0,7.0,18.0,43.0,8.0,4.0,3.0,15.0,3.0,7.0,8.0,5.0,0.0,14.0,17.0,12.0,32.0,0.0,17.0,17.0,6.0,12.0,6.0,10.0,0.0,11.0,7.0,8.0,15.0,12.0,7.0,6.0,6.0,23.0,0.0,8.0,8.0,7.0,18.0,18.0,4.0,4.0,0.0,8.0,3.0,10.0,37.0,6.0,0.0,15.0,13.0,9.0,15.0,35.0,10.0,39.0,5.0,21.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/bounds/maximum,9.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,8.0,6.0,0.0,4.0,2.0,3.0,7.0,0.0,3.0,7.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,8.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,1.0,9.0,9.0,3.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,5.0,0.0,11.0,11.0,1.0,0.0,1.0,1.0,3.0,3.0,6.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,3.0,6.0,6.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,3.0,3.0,2.0,0.0,6.0,6.0,4.0,7.0,1.0,5.0,0.0,6.0,3.0,4.0,3.0,5.0,4.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/bounds/maximum/@exclusive,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/bounds/minimum,2.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,1.0,9.0,4.0,0.0,4.0,2.0,2.0,3.0,0.0,1.0,5.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,4.0,4.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,2.0,7.0,7.0,2.0,0.0,1.0,0.0,2.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,2.0,1.0,1.0,0.0,3.0,4.0,0.0,3.0,4.0,1.0,6.0,6.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,7.0,1.0,5.0,0.0,2.0,2.0,4.0,2.0,3.0,4.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,2.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/bounds/minimum/@exclusive,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/numberType,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/unit/customUnit,6.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,0.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,4.0,6.0,2.0,0.0,0.0,3.0,1.0,3.0,5.0,3.0,0.0,3.0,3.0,2.0,8.0,4.0,4.0,0.0,0.0,9.0,2.0,0.0,4.0,2.0,5.0,5.0,6.0,5.0,9.0,4.0,3.0,5.0,2.0,3.0,1.0,0.0,0.0,5.0,2.0,8.0,8.0,2.0,0.0,4.0,0.0,3.0,0.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,7.0,1.0,1.0,2.0,6.0,0.0,3.0,4.0,0.0,2.0,16.0,3.0,9.0,9.0,2.0,4.0,7.0,3.0,4.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,0.0,2.0,2.0,4.0,4.0,13.0,13.0,13.0,9.0,9.0,9.0,7.0,7.0,6.0,4.0,5.0,4.0,5.0,2.0,4.0,5.0,12.0,5.0,1.0,2.0,1.0,1.0,2.0,5.0,1.0,0.0,2.0,2.0,1.0,12.0,0.0,3.0,3.0,6.0,4.0,2.0,4.0,0.0,2.0,2.0,4.0,4.0,6.0,3.0,4.0,4.0,2.0,0.0,3.0,3.0,1.0,5.0,9.0,3.0,3.0,0.0,6.0,2.0,3.0,2.0,2.0,0.0,1.0,9.0,2.0,3.0,5.0,4.0,7.0,1.0,4.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/@enforced,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
