Collection,Record,/eml:eml/@packageId,/eml:eml/@scope,/eml:eml/@system,/eml:eml/@xsi:schemaLocation,/eml:eml/access/@authSystem,/eml:eml/access/@order,/eml:eml/access/@scope,/eml:eml/access/allow/permission,/eml:eml/access/allow/principal,/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,/eml:eml/dataset/@id,/eml:eml/dataset/@scope,/eml:eml/dataset/abstract/para,/eml:eml/dataset/abstract/section/para,/eml:eml/dataset/abstract/section/title,/eml:eml/dataset/associatedParty/@scope,/eml:eml/dataset/associatedParty/address/@scope,/eml:eml/dataset/associatedParty/address/administrativeArea,/eml:eml/dataset/associatedParty/address/city,/eml:eml/dataset/associatedParty/address/country,/eml:eml/dataset/associatedParty/address/deliveryPoint,/eml:eml/dataset/associatedParty/address/postalCode,/eml:eml/dataset/associatedParty/electronicMailAddress,/eml:eml/dataset/associatedParty/individualName/givenName,/eml:eml/dataset/associatedParty/individualName/surName,/eml:eml/dataset/associatedParty/organizationName,/eml:eml/dataset/associatedParty/phone,/eml:eml/dataset/associatedParty/phone/@phonetype,/eml:eml/dataset/associatedParty/role,/eml:eml/dataset/contact/@scope,/eml:eml/dataset/contact/address/@scope,/eml:eml/dataset/contact/address/administrativeArea,/eml:eml/dataset/contact/address/city,/eml:eml/dataset/contact/address/country,/eml:eml/dataset/contact/address/deliveryPoint,/eml:eml/dataset/contact/address/postalCode,/eml:eml/dataset/contact/electronicMailAddress,/eml:eml/dataset/contact/onlineUrl,/eml:eml/dataset/contact/organizationName,/eml:eml/dataset/contact/positionName,/eml:eml/dataset/coverage/@scope,/eml:eml/dataset/coverage/geographicCoverage/@scope,/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,/eml:eml/dataset/coverage/temporalCoverage/@scope,/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,/eml:eml/dataset/creator/@id,/eml:eml/dataset/creator/@scope,/eml:eml/dataset/creator/address/@scope,/eml:eml/dataset/creator/address/administrativeArea,/eml:eml/dataset/creator/address/city,/eml:eml/dataset/creator/address/country,/eml:eml/dataset/creator/address/deliveryPoint,/eml:eml/dataset/creator/address/postalCode,/eml:eml/dataset/creator/electronicMailAddress,/eml:eml/dataset/creator/individualName/givenName,/eml:eml/dataset/creator/individualName/surName,/eml:eml/dataset/creator/organizationName,/eml:eml/dataset/creator/phone,/eml:eml/dataset/creator/phone/@phonetype,/eml:eml/dataset/creator/positionName,/eml:eml/dataset/dataTable/@id,/eml:eml/dataset/dataTable/@scope,/eml:eml/dataset/dataTable/attributeList/attribute/@scope,/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimeDomain/bounds/minimum,/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimeDomain/bounds/minimum/@exclusive,/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimePrecision,/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/numberType,/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/precision,/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/unit/standardUnit,/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/precision,/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/customUnit,/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/standardUnit,/eml:eml/dataset/dataTable/entityDescription,/eml:eml/dataset/dataTable/entityName,/eml:eml/dataset/dataTable/physical/@scope,/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/attributeOrientation,/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numFooterLines,/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numHeaderLines,/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/recordDelimiter,/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/collapseDelimiters,/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/fieldDelimiter,/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/literalCharacter,/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/quoteCharacter,/eml:eml/dataset/dataTable/physical/distribution/@scope,/eml:eml/dataset/dataTable/physical/distribution/online/url,/eml:eml/dataset/dataTable/physical/distribution/online/url/@function,/eml:eml/dataset/dataTable/physical/encodingMethod,/eml:eml/dataset/dataTable/physical/objectName,/eml:eml/dataset/intellectualRights/para,/eml:eml/dataset/keywordSet/keyword,/eml:eml/dataset/keywordSet/keyword/@keywordType,/eml:eml/dataset/keywordSet/keywordThesaurus,/eml:eml/dataset/methods/methodStep/description,/eml:eml/dataset/methods/methodStep/protocol/@id,/eml:eml/dataset/methods/methodStep/protocol/@scope,/eml:eml/dataset/methods/methodStep/protocol/creator/@scope,/eml:eml/dataset/methods/methodStep/protocol/creator/positionName,/eml:eml/dataset/methods/methodStep/protocol/distribution/@scope,/eml:eml/dataset/methods/methodStep/protocol/distribution/online/url,/eml:eml/dataset/methods/methodStep/protocol/distribution/online/url/@function,/eml:eml/dataset/methods/methodStep/protocol/title,/eml:eml/dataset/pubDate,/eml:eml/dataset/publisher/@scope,/eml:eml/dataset/publisher/organizationName,/eml:eml/dataset/title
2010,106.15.xml,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,9.0,3.0,4.0,7.0,9.0,9.0,9.0,9.0,11.0,17.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,0.0,8.0,0.0,0.0,65.0,65.0,5.0,5.0,5.0,5.0,3.0,0.0,3.0,46.0,11.0,0.0,0.0,11.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,8.0,0.0,8.0,8.0,2.0,22.0,6.0,1.0,6.0,7.0,0.0,0.0,7.0,0.0,7.0,0.0,7.0,1.0,0.0,1.0,1.0
2010,3.12.xml,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,23.0,23.0,23.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,1.0
2010,3.13.xml,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,5.0,2.0,9.0,8.0,9.0,9.0,9.0,10.0,13.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,63.0,63.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,6.0,42.0,0.0,17.0,25.0,9.0,9.0,0.0,9.0,0.0,9.0,0.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,9.0,0.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010,3.14.xml,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,5.0,2.0,9.0,8.0,9.0,9.0,9.0,10.0,13.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,63.0,63.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,6.0,42.0,0.0,17.0,25.0,9.0,9.0,0.0,9.0,0.0,9.0,0.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,9.0,0.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010,3.15.xml,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,5.0,2.0,9.0,8.0,9.0,9.0,9.0,10.0,13.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,63.0,63.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,6.0,42.0,0.0,17.0,25.0,9.0,9.0,0.0,9.0,0.0,9.0,0.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,9.0,0.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010,3.16.xml,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,5.0,2.0,9.0,8.0,9.0,9.0,9.0,10.0,13.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,9.0,0.0,0.0,63.0,63.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,6.0,42.0,0.0,17.0,25.0,9.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,9.0,0.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
2010,3.17.xml,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,5.0,2.0,9.0,8.0,9.0,9.0,9.0,10.0,13.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,9.0,0.0,0.0,63.0,63.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,6.0,42.0,0.0,17.0,25.0,9.0,9.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,9.0,0.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
2010,3.18.xml,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,5.0,2.0,9.0,8.0,9.0,9.0,9.0,10.0,13.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,9.0,0.0,0.0,63.0,63.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,6.0,42.0,0.0,17.0,25.0,9.0,9.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,9.0,0.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
2010,3.19.xml,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,5.0,2.0,9.0,8.0,9.0,9.0,9.0,10.0,13.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,9.0,0.0,0.0,63.0,63.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,6.0,42.0,0.0,17.0,25.0,9.0,9.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,9.0,0.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
2010,3.20.xml,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,5.0,2.0,9.0,8.0,9.0,9.0,9.0,10.0,13.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,9.0,0.0,0.0,63.0,63.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,6.0,42.0,0.0,17.0,25.0,9.0,9.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,9.0,0.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
