Collection,Record,Resource Identifier,Resource Title,Author / Originator,Metadata Contact,Contributor Name,Publisher,Publication Date,Resource Contact,Abstract,Keyword,Resource Distribution,Spatial Extent,Taxonomic Extent,Temporal Extent,Maintenance,Resource Use Constraints,Process Step,Project Description,Entity Type Definition,Attribute Definition,Resource Access Constraints,Resource Format,Attribute List,Attribute Constraints,Resource Quality Description
2015.0,1.5.xml,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,11.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0
2015.0,100.4.xml,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,16.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0
2015.0,101.4.xml,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,16.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0
2015.0,101.5.xml,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,16.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0
2015.0,102.10.xml,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,12.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0
2015.0,102.11.xml,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,12.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0
2015.0,102.12.xml,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,12.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0
2015.0,103.6.xml,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,42.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,46.0,1.0,2.0,2.0,0.0,0.0
2015.0,103.7.xml,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,42.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,46.0,1.0,2.0,2.0,0.0,0.0
2015.0,104.6.xml,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,42.0,1.0,1.0,1.0,0.0,0.0
2015.0,104.7.xml,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,42.0,1.0,1.0,1.0,0.0,0.0
2015.0,105.7.xml,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,12.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0
